idelem,tipo_elem,identif,nombre,north, east, zone, longitude, latitude
4506,PUNTOS DE MEDIDA URBANOS,31013,FRANCOS RODRIGUEZ E-O(POLICIA-COLEGIO PALOMA),447908658542066.00,439499941446255.00,31,-2.4486487235009,-5.2977166034318
3472,PUNTOS DE MEDIDA URBANOS,31021,ANTONIO MACHADO S-N,447941338081478.00,439165270952419.00,31,4.7560470323316,1.3557840559465
4512,PUNTOS DE MEDIDA URBANOS,31023,Antonio Machado N-S(Sinesio Delgado-Isla de Oza),447967164173439.00,439052386358491.00,31,-4.0684319321031,-9.7762872501400
4513,PUNTOS DE MEDIDA URBANOS,31024,PABLO IGLESIAS N-S(MOGUER-ALMIRANTE FCO. MORENO),447877547273971.00,439663057413703.00,31,2.9332070960454,6.4163341030174
4514,PUNTOS DE MEDIDA URBANOS,31025,PABLO IGLESIAS S-N(ALMIRANTE FCO. MORENO-LEQEROS),447881917765187.00,439696142121354.00,31,1.0483160839125,-3.4494325699032
4533,PUNTOS DE MEDIDA URBANOS,31055,CAMINO CHORRILLO N-S (GTA. PIEDRAFITA CEBREROS-VILLAAMIL),448000520023886.00,43985644746763.00,31,-7.0383750395356,-1.5199544220577
3708,PUNTOS DE MEDIDA URBANOS,31066, PIRINEOS S-N (M* AUXILIADORA -FRANCOS RODRIGUEZ),447909607421693.00,439404716645087.00,31,-6.0880113774054,1.8264697808559
4551,PUNTOS DE MEDIDA URBANOS,32009,AV. BETANZOS N-S(CHANTADA-MELCHOR FERNANDEZ ALMAGRO),448081256872223.00,439796000022859.00,31,-8.6225932594478,-2.8148003237898
4552,PUNTOS DE MEDIDA URBANOS,32010,AV. BETANZOS N-S(MELCHOR FERNANDEZ ALMAGRO-CHANTADA),448082055668962.00,439790283591473.00,31,-5.1189344319053,-1.3546460482814
4553,PUNTOS DE MEDIDA URBANOS,32011,MELCHOR FERNANDEZ ALMAGRO E-O(FERROL-AV. BETANZOS),448099493561778.00,4399507894918.00,31,-1.1098771202152,-3.6525057190192
4563,PUNTOS DE MEDIDA URBANOS,32026, SINESIO DELGADO O-E(RIBADAVIA-AV. ASTURIAS),448067379654869.00,440505953539799.00,31,-8.4797226738030,-2.7659088459765
4564,PUNTOS DE MEDIDA URBANOS,32027,GINZO DE LIMIA N-S(MELCHOR FERNANDEZ ALMAGRO-FERROL),448100396999493.00,440517706377815.00,31,3.8198734366311,-9.2470957671944
3596,PUNTOS DE MEDIDA URBANOS,32028,GINZO DE LIMIA S-N(VILLA MARIN-MELCHOR FERNANDEZ ALMAGRO),448105436807465.00,440521119999187.00,31,1.5136468626649,-3.4740999699690
4458,PUNTOS DE MEDIDA URBANOS,22005,Rios Rosas. 57 E-O - AgustÌn de Bethancourt-Modesto Lafuente,447722161862159.00,441153235601214.00,31,-1.1501087471409,3.0255743843372
7083,PUNTOS DE MEDIDA URBANOS,97409,(TACTICA)MÈndez √Ålvaro E-O(Giro a Estrella Naos) - Sabal - Estrella Naos,447229987561157.00,442210694716447.00,31,-3.8661042192153,6.1348329039924
5801,PUNTOS DE MEDIDA URBANOS,40021,C/. Arroyo del Olivar - Ntra. Sra. Perpetuo Socorro-Sierra del Cadi,44717450316055.00,443892842119565.00,31,2.3649135929705,5.4127814226289
3594,PUNTOS DE MEDIDA URBANOS,44017,C/. Alcal·  - Arturo Soria-AlbarracÌn,44767968904366.00,446107938362508.00,31,5.1390748296781,-1.2686963549045
5989,PUNTOS DE MEDIDA URBANOS,45044,C/. Gandhi - Luis RuÌz-JosÈ Arcones Gil,44753080672698.00,446429144354199.00,31,5.5537999792686,1.2112060012043
5994,PUNTOS DE MEDIDA URBANOS,45401,C/. Argos - AlbarracÌn-Hermanos GarcÌa Noblejas,447658021585265.00,446130634175894.00,31,-4.7838343381478,-1.0328387230973
5995,PUNTOS DE MEDIDA URBANOS,45402,C/. Dr. Cirajas - JosÈ Arcones Gil-Hermanos GarcÌa Noblejas,44765103780803.00,446098588036724.00,31,-3.7498974222093,1.1254963256072
5996,PUNTOS DE MEDIDA URBANOS,45403,C/. Miguel Fleta - AlbarracÌn-Hermanos GarcÌa Noblejas,447601630615203.00,446436430055189.00,31,-5.3027199699153,1.3608271835142
5997,PUNTOS DE MEDIDA URBANOS,45404,C/. Santo Domingo Savio - JosÈ Arcones Gil-Hermanos GarcÌa Noblejas,447598446595284.00,446385314351481.00,31,2.0844491628932,5.3240676209246
5998,PUNTOS DE MEDIDA URBANOS,45405,C/. Castillo de ArÈvalo - Llanes-Hermanos GarcÌa Noblejas,447565120157776.00,446638595972296.00,31,-4.4047986151514,-6.9547622753682
6023,PUNTOS DE MEDIDA URBANOS,46015,C/. Arturo Soria   - Amara-Juan PÈrez ZuÒiga,447764321839201.00,445198191923233.00,31,-1.2204781248671,-4.0612351136362
6186,PUNTOS DE MEDIDA URBANOS,53408,C/. Francisco Villaespesa - Berastegui-Ezequiel Solana,447582655864935.00,445507953265658.00,31,4.0095382974671,-1.5661183185485
6923,PUNTOS DE MEDIDA URBANOS,54025,San Cipriano  - Efigencia-CaÒos San Pedro,447296241076565.00,44908752676999.00,31,7.6856192070704,-1.8454467195942
3785,PUNTOS DE MEDIDA URBANOS,55043,Av. Machupichu - Av. Papa Negro-Machaquito,447894578486412.00,44713690070956.00,31,-2.3626836608071,-5.9974102507634
6278,PUNTOS DE MEDIDA URBANOS,55408,C/. Sotillo - Sotillo-Av. MadroÒos,447891117892976.00,446084282956079.00,31,5.5217987023288,-1.5864377967750
6279,PUNTOS DE MEDIDA URBANOS,55409,Av. Machupichu - Av. Piceas-Av. Papa Negro,447889607981389.00,447166707723302.00,31,-9.8390477277150,2.6763375174396
6320,PUNTOS DE MEDIDA URBANOS,56040,C/. Gregorio S·nchez Herr·ez - VÌa de los Poblados-M40,448112675775921.00,446073078232728.00,31,4.0433801205302,-9.2014622296943
3485,PUNTOS DE MEDIDA URBANOS,43009, AV.MONFORTE DE LEMOS E-O(COLEG.PRINCIPE-FINISTERRE),448147301516973.00,440637999067551.00,31,4.0051365265269,-5.1628971306607
3536,PUNTOS DE MEDIDA M-30,PM30471,PM30471,447719840201249.00,444242134187443.00,31,-3.2415898403087,7.3751204394521
5233,PUNTOS DE MEDIDA URBANOS,83004,Ctra. Vicalvaro a Vallecas - Bruno Abundez-Av. Democracia,44706861652222.00,446887197005143.00,31,5.8550554444309,-1.6547217132476
9836,PUNTOS DE MEDIDA URBANOS,83401,C/. Bruno Abundez - Bruno Abundez-Ctra. Vicalvaro a Vallecas,447066575839241.00,446828724974678.00,31,-6.9333762419167,1.9494430350460
5202,PUNTOS DE MEDIDA URBANOS,82411,C/. Sierra Gador - Manuel Velez-Sierra Vieja,447032173069229.00,447320048236149.00,31,7.8583956981555,-2.1853003608756
5205,PUNTOS DE MEDIDA URBANOS,82412,C/. Real Arganda - Serrania Ronda-Jesus del Pino,447029162203078.00,447400015738355.00,31,2.9931072825145,7.4916525477649
5209,PUNTOS DE MEDIDA URBANOS,82413,C/. Real de Arganda - Puerto Reinosa-Torcal,447026911321193.00,447723256325236.00,31,-8.5926858369478,-2.8237779256773
3772,PUNTOS DE MEDIDA URBANOS,82414,C/. Sierra Torcal - Monte Montjuich-Real Arganda,447028131823616.00,447710788849756.00,31,1.3747740571246,-4.5845537097320
4843,PUNTOS DE MEDIDA URBANOS,27020,DOM.PARR.SE-NO(J.VEDRUNA-P? FERROV),44662755301638.00,439159880708836.00,31,2.6176312279558,-6.4470900297795
7001,PUNTOS DE MEDIDA URBANOS,27027,P? FERROV N-S(JOSE PINO-DOMINGO PARRAGA),446638760685603.00,439185373900077.00,31,1.2802825838162,2.9425045828157
4845,PUNTOS DE MEDIDA URBANOS,27028,ALB.PALAC E-O(TORREDEGRILLOS-P? FERROV),446631096759359.00,439215990936237.00,31,1.1388077354855,-2.6269969711951
4849,PUNTOS DE MEDIDA URBANOS,27032,EDU BARREIROS NO-SE(LAG RODRIGO-ALCOCER),446714557105994.00,44023881782855.00,31,4.0061893256709,-1.1687246736431
4851,PUNTOS DE MEDIDA URBANOS,27034,VILLALONSO NE-SO(E.BARR-CT.CCHEL-VILLAV),446706057120293.00,440198676793745.00,31,-1.0625446705274,-3.5002320150170
4853,PUNTOS DE MEDIDA URBANOS,27036, P?TALLERES E-O(ARROYOBUENO-S.JENA),446678153586109.00,440456322525968.00,31,3.0195650457836,7.4027981724709
4925,PUNTOS DE MEDIDA URBANOS,38004, ALISEDA N-S(PL.NAVARROS-POBLADOS,446970246269258.00,437098940980714.00,31,-1.3490271730920,-3.4573508336983
4942,PUNTOS DE MEDIDA URBANOS,38023,LATERAL C.TOLEDO N-S(F.LADREDA-POBLADOS),446982440896409.00,439004972696872.00,31,-1.0709863469644,-3.5180634946232
4944,PUNTOS DE MEDIDA URBANOS,38025,LATERAL CTRA. TOLEDO S-N(M40-POBLADOS),446957191049704.00,439014301478688.00,31,4.4788401446329,-9.9987339837702
4937,PUNTOS DE MEDIDA URBANOS,38018,N.S.FATIMA O-E(PINGUINO-EUG.MONTIJO,447018989874204.00,436555622714673.00,31,-3.9006418464610,5.7659907313414
4938,PUNTOS DE MEDIDA URBANOS,38019,GUAYABA S-N(AGUACATE-A.R.SACRISTAN),446957558910577.00,436675129813919.00,31,-2.7426688732289,8.2528437172006
4939,PUNTOS DE MEDIDA URBANOS,38020,AV. EURO S-N(ENRIQUE ORO-AV. POBLADOS),44695804747384.00,437415689365943.00,31,-8.0794926885486,-2.6130933245987
4940,PUNTOS DE MEDIDA URBANOS,38021,ILDEFONSO G.V.S-N(HALCON.REY-POBLAD,446966022372451.00,438836048166429.00,31,4.3182437201621,-8.7175890563155
9833,PUNTOS DE MEDIDA URBANOS,80301,POBLADOS O-E (GIRO A GRAL FANJUL),44710297756462.00,435434250838419.00,31,5.1153461238099,1.4026135450638
5186,PUNTOS DE MEDIDA URBANOS,81006,ERMITA STO.E-O(QUINCE MAYO-VIA CARPETANA,447253742243253.00,438008276019524.00,31,-3.8555674702737,4.5753186991550
5189,PUNTOS DE MEDIDA URBANOS,81009,AV.MANZANARES N-S(PTE SEGOVIA-M30),447387194575962.00,438749779187548.00,31,-4.3731675938916,9.1448592556575
6789,PUNTOS DE MEDIDA M-30,PM40461,PM40461,447767139741522.00,444401204601956.00,31,5.3342899296942,-1.4098644892695
6790,PUNTOS DE MEDIDA M-30,PM40751,PM40751,447453732850956.00,444552565925556.00,31,-7.7797258868220,1.6978277942072
7131,PUNTOS DE MEDIDA M-30,PM40752,PM40752,44745594658253.00,444524840870157.00,31,-8.9942664496187,-2.9645647374334
3827,PUNTOS DE MEDIDA M-30,PM40753,PM40753,447483472539463.00,443656695853899.00,31,1.7368898771092,5.6247136287098
6791,PUNTOS DE MEDIDA M-30,PM40901,PM40901,447327283930409.00,443766099052599.00,31,-2.3683427694886,7.4321038009520
9987,PUNTOS DE MEDIDA URBANOS,87034, AV. ROSALES S-N,446781540443397.00,442266894507319.00,31,5.3905179616153,-1.4682147300209
3483,PUNTOS DE MEDIDA URBANOS,94004,L.MARQUESADO SO-NO(GIRO S.EZEQUIEL),446524873737974.00,439583926792085.00,31,8.9615884059094,-2.9334969291727
3484,PUNTOS DE MEDIDA URBANOS,94005,R. PINTO NE-SO(MONTEJO-S.EZEQUIEL),446535572219109.00,439602681460291.00,31,-1.3791288451741,-4.4910735657123
5388,PUNTOS DE MEDIDA URBANOS,94006,R. PINTO SO-NE(LAG MARQUESADO-RESINA),446535436621342.00,43961373659993.00,31,2.4423499697867,-5.5259397196211
10015,PUNTOS DE MEDIDA URBANOS,94009,MONTEJO NO-SE(CIUDAD FRIAS-REAL PINTO),446547458604841.00,439560397454136.00,31,5.2519556281663,1.1709638806424
5027,PUNTOS DE MEDIDA URBANOS,98003, PTA. DEL ANGEL N-S,447424616173697.00,43818010612758.00,31,8.7282748247081,-1.9255015197326
7102,PUNTOS DE MEDIDA URBANOS,30402,SEGOVIA 69 E-O (GIRO A JUAN DUQUE),447415958877142.00,439084622447711.00,31,-3.1505801011431,-6.8047517369246
3595,PUNTOS DE MEDIDA URBANOS,31060,DR.FEDERICO RUBIO Y GALI N-S(MOGUER-FCO.DE DIEGO),447883023507111.00,439555131770958.00,31,-7.5165763026602,-1.6341826652977
3766,PUNTOS DE MEDIDA URBANOS,31061, Isla de Oza O-E(Isla Alegranza-Antonio Machado),447960288835915.00,439034683291074.00,31,-2.8619287722883,-6.1391220626853
5888,PUNTOS DE MEDIDA URBANOS,42020,GINZO DE LIMIA S-N,448200369063838.00,440118701705613.00,31,4.4322775165680,9.2478420842077
5889,PUNTOS DE MEDIDA URBANOS,42021,GINZO DE LIMIA. 60 S-N,448185994671108.00,440276076678433.00,31,-5.4981224162331,-1.5448651885027
5890,PUNTOS DE MEDIDA URBANOS,42022,FERM√çN CABALLERO 53 O-E,448185390300452.00,440105373267641.00,31,-1.0743203710925,3.5381074152916
