ESTACION,MAGNITUD,TECNICA,HORARIO,ANIO,MES,DIA,HORA1,HORA2,HORA3,HORA4,HORA5,HORA6,HORA7,HORA8,HORA9,HORA10,HORA11,HORA12,HORA13,HORA14,HORA15,HORA16,HORA17,HORA18,HORA19,HORA20,HORA21,HORA22,HORA23,HORA24
28079024,01,38,02,2016,10,12,00002,00002,00003,00003,00002,00002,00002,00002,00002,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,06,48,02,2016,10,12,000.3,000.4,000.4,000.5,000.4,000.4,000.5,000.6,000.6,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,07,08,02,2016,10,12,00001,00001,00001,00001,00001,00001,00001,00001,00001,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,08,08,02,2016,10,12,00008,00014,00010,00013,00004,00007,00005,00007,00014,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,09,47,02,2016,10,12,00010,00011,00015,00017,00010,00008,00007,00005,00009,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,10,47,02,2016,10,12,00018,00019,00024,00027,00021,00018,00017,00013,00015,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,12,08,02,2016,10,12,00010,00015,00012,00014,00005,00008,00006,00009,00016,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,14,06,02,2016,10,12,00094,00083,00081,00072,00084,00078,00070,00044,00031,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,20,59,02,2016,10,12,000.2,000.5,000.7,001.3,000.7,000.4,000.4,000.3,000.3,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,30,59,02,2016,10,12,000.1,000.2,000.3,000.3,000.2,000.2,000.2,000.2,000.2,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,35,59,02,2016,10,12,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,42,02,02,2016,10,12,01.20,01.22,01.23,01.24,01.20,01.21,01.21,01.22,01.24,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,43,02,02,2016,10,12,01.13,01.14,01.15,01.15,01.14,01.15,01.15,01.17,01.18,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,44,02,02,2016,10,12,00.07,00.08,00.08,00.09,00.06,00.07,00.06,00.05,00.06,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,80,98,02,2016,10,12,00001,00001,00001,00001,00001,00001,00001,00001,00001,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,81,98,02,2016,10,12,02.04,01.92,01.94,01.48,02.12,01.27,02.26,01.40,01.02,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,82,98,02,2016,10,12,00177,00144,00143,00151,00184,00133,00249,00317,00026,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,83,98,02,2016,10,12,015.0,015.0,014.0,014.0,014.5,014.7,013.1,011.5,010.8,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,86,98,02,2016,10,12,00053,00056,00062,00064,00066,00066,00082,00095,00096,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,87,98,02,2016,10,12,00936,00936,00935,00935,00935,00935,00935,00935,00935,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,88,98,02,2016,10,12,00001,00001,00001,00001,00001,00001,00001,00001,00002,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079024,89,98,02,2016,10,12,00.00,00.00,00.00,00.00,00.00,00.00,01.50,02.00,00.00,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079027,07,08,02,2016,10,12,00001,00001,00001,00001,00001,00001,00001,00001,00002,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079027,08,08,02,2016,10,12,00027,00029,00025,00024,00022,00024,00021,00020,00035,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079027,12,08,02,2016,10,12,00029,00031,00026,00026,00023,00026,00023,00021,00038,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079027,14,06,02,2016,10,12,00072,00062,00059,00054,00056,00055,00057,00049,00032,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079035,01,38,02,2016,10,12,00003,00010,00012,00013,00012,00011,00011,00012,00012,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079035,06,48,02,2016,10,12,000.2,000.2,000.3,000.3,000.2,000.2,000.3,000.3,000.3,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079035,07,08,02,2016,10,12,00003,00002,00004,00003,00001,00012,00004,00003,00002,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079035,08,08,02,2016,10,12,00029,00030,00043,00031,00022,00027,00024,00028,00028,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079035,12,08,02,2016,10,12,00034,00033,00049,00035,00024,00045,00029,00032,00031,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079035,14,06,02,2016,10,12,00082,00074,00049,00058,00067,00069,00062,00052,00052,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079036,01,38,02,2016,10,12,00009,00009,00009,00009,00009,00009,00009,00008,00008,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079036,06,48,02,2016,10,12,000.2,000.2,000.2,000.3,000.2,000.2,000.2,000.2,000.2,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079036,07,08,02,2016,10,12,00001,00001,00001,00002,00001,00001,00001,00003,00004,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079036,08,08,02,2016,10,12,00027,00033,00020,00021,00015,00017,00016,00021,00030,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079036,10,47,02,2016,10,12,00023,00031,00032,00032,00026,00023,00038,00030,00014,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079036,12,08,02,2016,10,12,00028,00035,00022,00023,00016,00018,00017,00025,00036,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079036,89,98,02,2016,10,12,00.00,00.00,00.00,00.00,00.00,00.00,00.50,03.50,01.00,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079038,01,38,02,2016,10,12,00002,00002,00002,00002,00002,00002,00002,00002,00002,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079038,07,08,02,2016,10,12,00006,00006,00002,00001,00002,00002,00002,00004,00006,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079038,08,08,02,2016,10,12,00023,00020,00025,00018,00010,00011,00012,00016,00024,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079038,09,47,02,2016,10,12,00009,00011,00015,00013,00010,00009,00011,00013,00002,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079038,10,47,02,2016,10,12,00017,00020,00024,00023,00020,00017,00023,00025,00003,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079038,12,08,02,2016,10,12,00031,00028,00027,00020,00013,00013,00015,00022,00033,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079038,20,59,02,2016,10,12,000.7,000.6,000.6,000.9,000.5,000.4,000.4,000.3,000.3,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079038,30,59,02,2016,10,12,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079038,35,59,02,2016,10,12,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079038,83,98,02,2016,10,12,017.4,017.1,016.4,016.1,016.2,016.5,015.0,013.9,013.6,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079038,89,98,02,2016,10,12,00.00,00.00,00.00,00.00,00.00,00.00,01.00,03.50,01.00,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079039,06,48,02,2016,10,12,000.3,000.3,000.3,000.3,000.2,000.2,000.2,000.3,000.2,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079039,07,08,02,2016,10,12,00003,00002,00002,00002,00002,00002,00002,00002,00002,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079039,08,08,02,2016,10,12,00025,00020,00021,00017,00013,00009,00013,00017,00018,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079039,12,08,02,2016,10,12,00029,00023,00024,00020,00016,00011,00016,00020,00021,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079039,14,06,02,2016,10,12,00075,00080,00073,00072,00074,00079,00064,00045,00047,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079039,89,98,02,2016,10,12,00.00,00.00,00.00,00.00,00.00,00.00,01.00,02.50,01.00,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079040,01,38,02,2016,10,12,00005,00005,00005,00006,00005,00005,00005,00005,00005,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079040,07,08,02,2016,10,12,00005,00001,00001,00001,00001,00001,00001,00001,00002,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079040,08,08,02,2016,10,12,00045,00025,00024,00020,00028,00029,00020,00015,00029,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
