idelem,tipo_elem,identif,nombre,north, east, zone, longitude, latitude,,,,
4507,PUNTOS DE MEDIDA URBANOS,"31014",FRANCOS RODRIGUEZ O-E(POLICIA-STO ANGEL DE LA GUARDA),447906551613234.00,439531480709062.00,31,56.029.648.162.707,-16.028.545.220.315,,,,
7114,PUNTOS DE MEDIDA URBANOS,"31018",Lope de Haro E-O (Giro Izqda)(Berruguete-Francos Rodriguez),447889438746231.00,440394744325815.00,31,86.988.770.173.170,-23.405.612.679.277,,,,
4532,PUNTOS DE MEDIDA URBANOS,"31054",VILLAAMIL N-S(CAMINO CHORRILLO-SAN RESTITUTO),447984053879873.00,439901731309707.00,31,38.030.756.499.192,22.181.478.947.603,,,,
4549,PUNTOS DE MEDIDA URBANOS,"32007",AV. BETANZOS S-N(RIBADAVIA-CHANTADA),44806494276322.00,439737552933366.00,31,-10.145.299.273.040,26.857.997.305.488,,,,
4550,PUNTOS DE MEDIDA URBANOS,"32008",CHANTADA E-O(RIBADAVIA-AV. BETANZOS),448070456809012.00,439822919313205.00,31,-37.960.186.419.981,-21.110.839.622.294,,,,
4555,PUNTOS DE MEDIDA URBANOS,"32013",AV. BETANZOS N-S(AV. MONFORTE DE LEMOS-LA BAQEZA),448121061126942.00,439750249445418.00,31,69.063.883.962.417,18.963.593.341.830,,,,
4505,PUNTOS DE MEDIDA URBANOS,"31012",FRANCOS RODRIGUEZ O-E (DR.FEDERICO RUBIO-PABLO IGLESIAS),447900598776284.00,439683570327401.00,31,26.025.859.012.967,-58.812.482.490.536,,,,
4060,PUNTOS DE MEDIDA URBANOS,"10012",Menendez Pelayo N-S - Sainz de Baranda-Puerta Granada,44740833111569.00,442661750915466.00,31,-38.831.811.143.842,18.693.754.114.682,,,,
4210,PUNTOS DE MEDIDA URBANOS,"14014",Meson de Paredes N-S - Miguel Servet-Ronda Valencia,447328055439027.00,440584032472443.00,31,-34.397.828.468.093,-77.461.498.512.024,,,,
4211,PUNTOS DE MEDIDA URBANOS,"14015", Ronda Valencia O-E - Meson de Paredes-Fray Luis Leon,447321205858999.00,440661317855736.00,31,-13.622.908.159.139,44.539.096.503.338,,,,
4212,PUNTOS DE MEDIDA URBANOS,"14016",Ronda Valencia E-O - Meson de Paredes-Gta. Embajadores,447320632514507.00,440619045580495.00,31,14.894.529.317.943,-48.387.747.464.952,,,,
4213,PUNTOS DE MEDIDA URBANOS,"14017",Embajadores S-N - Sebastian Elcano-Gta. Embajadores,447305060113538.00,440565774038157.00,31,-33.922.960.568.385,-76.409.264.840.509,,,,
10037,PUNTOS DE MEDIDA URBANOS,"14043",P∫ Yeserias O-E - YeserÌas-Naves,447241229903795.00,439988958192788.00,31,-39.967.347.949.361,-11.652.415.133.966,,,,
3671,PUNTOS DE MEDIDA URBANOS,"15003", Alcala E-O - Pl. Independencia-Pl. Cibeles,447479117471125.00,441536245278302.00,31,40.099.927.674.151,-47.551.102.541.808,,,,
4393,PUNTOS DE MEDIDA URBANOS,"18020",San Bernardo N-S - Noviciado-Reyes,447539570761332.00,4400983339286.00,31,-22.227.210.612.959,-55.466.661.165.566,,,,
4394,PUNTOS DE MEDIDA URBANOS,"18021", Noviciado O-E - Norte-San Bernardo,447544213188961.00,440087622452585.00,31,-71.649.700.022.025,-15.434.066.001.104,,,,
4402,PUNTOS DE MEDIDA URBANOS,"18024",Serrano Jover N-S( Lateral Izquierdo) - Alberto Aguilera-Sta Cruz de Marcenado,447595398577444.00,439532070326489.00,31,-84.336.528.428.775,-22.692.745.297.896,,,,
5558,PUNTOS DE MEDIDA URBANOS,"61046",Alfonso XIII E-O - Torpedero Tucum·n-Encinas,447928216671396.00,442877187665367.00,31,92.368.164.027.898,20.216.834.237.910,,,,
5675,PUNTOS DE MEDIDA URBANOS,"62062",General Yag¸e O-E - Capit·n Haya-P∫Castellana,447883194096618.00,4414308470999.00,31,40.243.860.900.824,50.036.145.357.834,,,,
6451,PUNTOS DE MEDIDA URBANOS,"65040",C/. Andaluces - Av. Rafael Alberti-Av. Pablo Neruda,447160715063655.00,445689911538258.00,31,-49.185.707.574.094,11.930.858.771.071,,,,
6460,PUNTOS DE MEDIDA URBANOS,"65053",C/. Laponia - Laponia-Av. Doctor GarcÌa Tapia,447319432859766.00,446843735790816.00,31,17.189.801.394.891,-56.296.599.058.393,,,,
6461,PUNTOS DE MEDIDA URBANOS,"65057",C/. Fuente Carrantona - Av. Doctor GarcÌa Tapia-Mario CabrÈ,447328185217184.00,446467284849674.00,31,88.384.925.268.877,29.133.617.025.222,,,,
6452,PUNTOS DE MEDIDA URBANOS,"65041",Av. Moratalaz  - Camimo Vinateros-Av. Doctor GarcÌa Tapia,447358310118037.00,445593720668356.00,31,38.215.095.403.409,-84.600.850.385.702,,,,
6458,PUNTOS DE MEDIDA URBANOS,"65049",C/. JosÈ Bergamin - JosÈ BergamÌn-Fuente Carrantona,447375137611888.00,446600774409448.00,31,41.983.815.879.485,43.984.541.526.335,,,,
3833,PUNTOS DE MEDIDA URBANOS,"65051",Av. Doctor GarcÌa Tapia - M-40-Rabat,447327877429533.00,447001663631193.00,31,12.447.852.423.678,-27.199.181.649.743,,,,
6459,PUNTOS DE MEDIDA URBANOS,"65052",C/. Rabat - Rabat-Av. Doctor GarcÌa Tapia,447339066355743.00,446879614791448.00,31,46.189.928.546.419,-88.425.606.089.461,,,,
4398,PUNTOS DE MEDIDA URBANOS,"18302", Gta. Ruiz Jimenez E-O(Delante G. 5) -  Gta. Ruiz Jimenez E-O(Delante G. 5),447587666753843.00,440265241308595.00,31,-71.557.280.662.963,15.908.053.907.455,,,,
5547,PUNTOS DE MEDIDA URBANOS,"61035",Principe de Vergara S-N - Concha Espina-Pl.Rep˙blica Ecuador,447843001463825.00,442668841708448.00,31,51.232.796.842.025,13.166.710.447.332,,,,
5575,PUNTOS DE MEDIDA URBANOS,"61064",Alberto Alcocer E-O - VÌctor AndrÈs Belaunde-P∫ de la Habana,447909778758189.00,442384376274246.00,31,-59.480.026.980.618,-12.881.720.797.303,,,,
4265,PUNTOS DE MEDIDA URBANOS,"97045",Gran VÌa San Francisco S-N - San BernabÈ-Cra.San Francisco,447363868191445.00,439578336736723.00,31,37.395.790.673.782,-83.869.426.097.101,,,,
5788,PUNTOS DE MEDIDA URBANOS,"40006",Av. Buenos Aires - T˙nel Av. San Diego-Av. Pablo Neruda,447034793440323.00,444699675307279.00,31,-21.484.038.528.312,-54.483.501.772.553,,,,
5926,PUNTOS DE MEDIDA URBANOS,"44024",C/. Alcal·  - Urquiza-Gutierre de Cetina,447634217519792.00,445308199902893.00,31,-41.993.223.549.385,95.318.432.519.058,,,,
5930,PUNTOS DE MEDIDA URBANOS,"44032",C/. Ricardo OrtÌz - Ricardo OrtÌz- Alcal·,447592250721874.00,444318317060881.00,31,13.872.856.928.847,45.796.596.065.523,,,,
6050,PUNTOS DE MEDIDA URBANOS,"46405",C/. Arturo Soria - Giro a Torrecilla del Puerto,447814402156103.00,44482961221456.00,31,39.168.463.607.065,95.864.514.395.347,,,,
6051,PUNTOS DE MEDIDA URBANOS,"46406",C/. RamÌrez de Arellano - Agastia-Arturo Soria,447811181132566.00,444821672596398.00,31,-10.553.526.307.194,23.601.001.121.376,,,,
6209,PUNTOS DE MEDIDA URBANOS,"54021",C/. Casalarreina  - CordovÌn-Ezcaray,447357893071867.00,448150726295784.00,31,29.753.822.900.542,66.384.006.363.903,,,,
3721,PUNTOS DE MEDIDA URBANOS,"3006",Joaquin Costa 70 E-O (Velazquez - Gta. Lopez de Hoyos) - (Velazquez - Gta. Lopez de Hoyos),447722577811778.00,442266301569615.00,31,11.135.502.685.756,24.098.434.075.627,,,,
4164,PUNTOS DE MEDIDA URBANOS,"13016",P∫ Reina Cristina E-O - Jose Anselmo Clave-Alfonso XII,447332249546809.00,441791574140298.00,31,-10.064.063.660.423,-33.246.147.103.938,,,,
4467,PUNTOS DE MEDIDA URBANOS,"22302", Pl. San Juan de la Cruz S-O(Delante G.13) (P.M.5) -  Pl. San Juan de la Cruz S-O(Delante G.13) (P.M.5),447713865131026.00,441428955213334.00,31,25.253.733.205.507,78.032.667.166.050,,,,
5544,PUNTOS DE MEDIDA URBANOS,"61032",Principe de Vergara N-S - Pl.Per˙-Pl.Rep˙blica Dominicana,447923280389013.00,442736320904148.00,31,-22.361.538.211.558,56.224.353.450.243,,,,
6410,PUNTOS DE MEDIDA URBANOS,"64025",C/. Aquitania - Toscana-Av. Canillejas a Vic·lvaro,447486160518589.00,448182338014766.00,31,68.626.525.042.520,-19.404.875.871.865,,,,
4804,PUNTOS DE MEDIDA URBANOS,"25039",AV. ANDALUCIA S-N (LATERAL),446978991605013.00,441133377336133.00,31,-96.167.268.484.812,22.421.227.409.595,,,,
5969,PUNTOS DE MEDIDA URBANOS,"45023",C/. Aquitania - Pl. Alsacia-Capri,447446498932544.00,447325953281319.00,31,-46.266.231.493.000,13.614.978.637.287,,,,
4792,PUNTOS DE MEDIDA URBANOS,"25026", SAN GRACIANO E-O,447175913983698.00,44037581176486.00,31,-43.808.637.259.719,12.657.563.021.813,,,,
3574,PUNTOS DE MEDIDA URBANOS,"50030",SAN VICENTE PAUL S-N,447101161596641.00,43848389743182.00,31,31.698.104.079.661,-71.122.229.019.209,,,,
5144,PUNTOS DE MEDIDA URBANOS,"58011",CARCASTILLO SO-NE(BESOLLA-C.V.LEGANES),447028117464558.00,43782374878428.00,31,-58.638.665.131.788,-12.713.964.132.787,,,,
5148,PUNTOS DE MEDIDA URBANOS,"58015",AV.ABRANTES O-E(BESOLLA-PL.VULCANO) GIRO,447003853527593.00,437861345475055.00,31,36.867.680.235.182,10.873.412.683.492,,,,
5197,PUNTOS DE MEDIDA URBANOS,"81017",P.ERMITA STO N-S(V.CARPETANA-S.AMBROSIO),447316166048966.00,438604310779578.00,31,-25.118.474.428.541,76.883.597.081.618,,,,
7008,PUNTOS DE MEDIDA URBANOS,"81019",PTE S.ISIDRO E-O(P.MELANC.-P.ERMITA STO),447303149704947.00,438709882382438.00,31,11.852.974.644.256,38.811.104.728.908,,,,
5350,PUNTOS DE MEDIDA URBANOS,"87019",ZAFIRO O-E (ESTEFANIA-AV.ROSALES),446691897455073.00,442703780497215.00,31,-39.362.812.663.081,-25.842.433.056.501,,,,
3860,PUNTOS DE MEDIDA URBANOS,"2005", Dr. Esquerdo S-N - Alcalde Sainz Baranda-Ibiza,447447023616897.00,443331351703788.00,31,-39.278.001.712.330,-14.195.760.459.192,,,,
3564,PUNTOS DE MEDIDA URBANOS,"2029", Alcalde Sainz Baranda E-O - Giro Izq. a Torrespana,447494736379661.00,443923571284377.00,31,-97.294.379.630.835,-32.225.690.784.427,,,,
3582,PUNTOS DE MEDIDA URBANOS,"11036",Puerto Serrano E-O - Puerto Miravete-Embajadores,447099410384564.00,441708225160624.00,31,-21.865.939.657.328,68.725.559.320.049,,,,
6057,PUNTOS DE MEDIDA URBANOS,"46412",C/. MarquÈs de Pico Velasco 53 - Misterios-Arturo Soria,447744010660092.00,445472451996392.00,31,-28.427.824.298.187,-65.053.862.590.803,,,,
6058,PUNTOS DE MEDIDA URBANOS,"46413",C/. LÛpez de Aranda - Gral Aranaz-Arturo Soria,447719448122598.00,445800493390867.00,31,-40.310.739.349.296,-10.762.389.491.408,,,,
6059,PUNTOS DE MEDIDA URBANOS,"46414",C/. Mesena - Emilio Rubin-Navarro Amandi,447940815258736.00,444194603544647.00,31,29.934.066.314.494,68.208.411.252.855,,,,
3609,PUNTOS DE MEDIDA URBANOS,"10019",Menendez Pelayo N-S - (Pio  Baroja-NiÒo Jesus(Puerta Granada),44739624844525.00,44268886225455.00,31,-28.851.143.765.595,63.570.402.665.114,,,,
4229,PUNTOS DE MEDIDA URBANOS,"14030",P∫ Acacias O-E - Piramides-Dr. Vallejo N·jera,447282922196116.00,439705472625893.00,31,85.867.980.592.455,-23.079.026.006.824,,,,
4227,PUNTOS DE MEDIDA URBANOS,"14028",P∫ Acacias E-O - GasÛmetro-P∫ de los Olmos,44729658607091.00,43994223065382.00,31,13.450.864.417.788,-43.917.225.988.534,,,,
4228,PUNTOS DE MEDIDA URBANOS,"14029",P∫ de los Olmos N-S - Ronda Toledo-P∫ Acacias,447302284836146.00,439798759610711.00,31,-72.365.662.393.795,16.067.022.053.431,,,,
4381,PUNTOS DE MEDIDA URBANOS,"18003",Fern·ndez de los Rios. 71 O-E - Isaac Peral-Guzm·n el Bueno,447653059162064.00,439540908624321.00,31,-78.433.338.314.835,25.307.954.833.758,,,,
4409,PUNTOS DE MEDIDA URBANOS,"19007",Bravo Murillo. 25 N-S - Donoso CortÈs-Fdez.de los Rios,447658227651206.00,440374984858457.00,31,-10.768.477.559.236,-24.961.466.880.309,,,,
4411,PUNTOS DE MEDIDA URBANOS,"19009",Luchana. 15 N-S - Palafox-Gta.  Bilbao,447592978706996.00,440669400202085.00,31,58.880.884.460.154,-16.488.181.475.572,,,,
